Date,Total_Dep,State,Deposits
1/06/2012,40.1,Northern Territory,41
1/09/2012,47.4,Northern Territory,48
1/12/2012,33.5,Northern Territory,34
1/03/2013,21.8,Northern Territory,22
1/06/2013,29,Northern Territory,29
1/09/2013,32.3,Northern Territory,33
1/12/2013,30.2,Northern Territory,31
1/03/2014,21.4,Northern Territory,22
1/06/2014,34.5,Northern Territory,35
1/09/2014,27.3,Northern Territory,28
1/12/2014,24.8,Northern Territory,25
1/03/2015,19.4,Northern Territory,20
1/06/2015,24.2,Northern Territory,25
1/09/2015,33.4,Northern Territory,34
1/12/2015,27.5,Northern Territory,28
1/03/2016,19.4,Northern Territory,20
1/06/2016,20.5,Northern Territory,21
1/09/2016,22.1,Northern Territory,23
1/12/2016,23.6,Northern Territory,24
1/03/2017,11.9,Northern Territory,12
1/06/2017,20.8,Northern Territory,21
1/09/2017,28,Northern Territory,28
1/12/2017,30.5,Northern Territory,31
1/03/2018,22.5,Northern Territory,23
1/06/2018,28.3,Northern Territory,29
1/09/2018,32.5,Northern Territory,33
1/12/2018,39.9,Northern Territory,40
1/03/2019,27,Northern Territory,27
1/06/2019,32.5,Northern Territory,33
1/09/2019,36.4,Northern Territory,37
1/12/2019,36.8,Northern Territory,37
1/03/2020,25.4,Northern Territory,26
1/06/2020,24.4,Northern Territory,25
1/09/2020,28.2,Northern Territory,29
1/12/2020,32.8,Northern Territory,33
1/03/2021,26.9,Northern Territory,27
1/06/2021,40.4,Northern Territory,41
