Date,Total_Dep,State,,,,,,,,,,
Mar-18,261,Western Australia,,,,,,,,,,
Jun-18,349.8,Western Australia,,,,,,,,,,
Sep-18,361,Western Australia,,,,,,,,,,
Dec-18,346.3,Western Australia,,,,,,,,,,
Mar-19,319.5,Western Australia,,,,,,,,,,
Jun-19,415.1,Western Australia,,,,,,,,,,
Sep-19,459.7,Western Australia,,,,,,,,,,
Dec-19,453.9,Western Australia,,,,,,,,,,
Mar-20,367.1,Western Australia,,,,,,,,,,
Jun-20,412.4,Western Australia,,,,,,,,,,
Sep-20,483.3,Western Australia,,,,,,,,,,
Dec-20,494.7,Western Australia,,,,,,,,,,
Mar-21,480.2,Western Australia,,,,,,,,,,
Jun-21,593.9,Western Australia,,,,,,,,,,
Mar-74,,Tasmania,,,,,,,,,,
Jun-74,,Tasmania,,,,,,,,,,
Sep-74,,Tasmania,,,,,,,,,,
Dec-74,,Tasmania,,,,,,,,,,
Mar-75,,Tasmania,,,,,,,,,,
Jun-75,,Tasmania,,,,,,,,,,
Sep-75,,Tasmania,,,,,,,,,,
Dec-75,,Tasmania,,,,,,,,,,
Mar-76,,Tasmania,,,,,,,,,,
Jun-76,,Tasmania,,,,,,,,,,
Sep-76,,Tasmania,,,,,,,,,,
Dec-76,,Tasmania,,,,,,,,,,
Mar-77,,Tasmania,,,,,,,,,,
Jun-77,,Tasmania,,,,,,,,,,
Sep-77,,Tasmania,,,,,,,,,,
Dec-77,,Tasmania,,,,,,,,,,
Mar-78,,Tasmania,,,,,,,,,,
Jun-78,,Tasmania,,,,,,,,,,
Sep-78,,Tasmania,,,,,,,,,,
Dec-78,,Tasmania,,,,,,,,,,
Mar-79,,Tasmania,,,,,,,,,,
Jun-79,,Tasmania,,,,,,,,,,
Sep-79,,Tasmania,,,,,,,,,,
Dec-79,,Tasmania,,,,,,,,,,
Mar-80,,Tasmania,,,,,,,,,,
Jun-80,,Tasmania,,,,,,,,,,
Sep-80,,Tasmania,,,,,,,,,,
Dec-80,,Tasmania,,,,,,,,,,
Mar-81,,Tasmania,,,,,,,,,,
Jun-81,,Tasmania,,,,,,,,,,
Sep-81,,Tasmania,,,,,,,,,,
Dec-81,,Tasmania,,,,,,,,,,
Mar-82,,Tasmania,,,,,,,,,,
Jun-82,,Tasmania,,,,,,,,,,
Sep-82,,Tasmania,,,,,,,,,,
Dec-82,,Tasmania,,,,,,,,,,
Mar-83,,Tasmania,,,,,,,,,,
Jun-83,,Tasmania,,,,,,,,,,
Sep-83,,Tasmania,,,,,,,,,,
Dec-83,,Tasmania,,,,,,,,,,
Mar-84,,Tasmania,,,,,,,,,,
Jun-84,,Tasmania,,,,,,,,,,
Sep-84,,Tasmania,,,,,,,,,,
Dec-84,,Tasmania,,,,,,,,,,
Mar-85,,Tasmania,,,,,,,,,,
Jun-85,,Tasmania,,,,,,,,,,
Sep-85,,Tasmania,,,,,,,,,,
Dec-85,,Tasmania,,,,,,,,,,
Mar-86,,Tasmania,,,,,,,,,,
Jun-86,,Tasmania,,,,,,,,,,
Sep-86,,Tasmania,,,,,,,,,,
Dec-86,,Tasmania,,,,,,,,,,
Mar-87,,Tasmania,,,,,,,,,,
Jun-87,,Tasmania,,,,,,,,,,
Sep-87,,Tasmania,,,,,,,,,,
Dec-87,,Tasmania,,,,,,,,,,
Mar-88,,Tasmania,,,,,,,,,,
Jun-88,,Tasmania,,,,,,,,,,
Sep-88,2.5,Tasmania,,,,,,,,,,
Dec-88,3,Tasmania,,,,,,,,,,
Mar-89,3.4,Tasmania,,,,,,,,,,
Jun-89,4.2,Tasmania,,,,,,,,,,
Sep-89,3.2,Tasmania,,,,,,,,,,
Dec-89,3.3,Tasmania,,,,,,,,,,
Mar-90,2.8,Tasmania,,,,,,,,,,
Jun-90,2.5,Tasmania,,,,,,,,,,
Sep-90,1.7,Tasmania,,,,,,,,,,
Dec-90,3.1,Tasmania,,,,,,,,,,
Mar-91,3.2,Tasmania,,,,,,,,,,
Jun-91,1.9,Tasmania,,,,,,,,,,
Sep-91,2.6,Tasmania,,,,,,,,,,
Dec-91,1.9,Tasmania,,,,,,,,,,
Mar-92,1.9,Tasmania,,,,,,,,,,
Jun-92,1.4,Tasmania,,,,,,,,,,
Sep-92,1.1,Tasmania,,,,,,,,,,
Dec-92,1.7,Tasmania,,,,,,,,,,
Mar-93,2.2,Tasmania,,,,,,,,,,
Jun-93,2.8,Tasmania,,,,,,,,,,
Sep-93,1.7,Tasmania,,,,,,,,,,
Dec-93,2,Tasmania,,,,,,,,,,
Mar-94,3.4,Tasmania,,,,,,,,,,
Jun-94,3.1,Tasmania,,,,,,,,,,
Sep-94,2.8,Tasmania,,,,,,,,,,
Dec-94,2.9,Tasmania,,,,,,,,,,
Mar-95,4,Tasmania,,,,,,,,,,
Jun-95,5.2,Tasmania,,,,,,,,,,
Sep-95,2.5,Tasmania,,,,,,,,,,
Dec-95,5.6,Tasmania,,,,,,,,,,
Mar-96,6,Tasmania,,,,,,,,,,
Jun-96,4.7,Tasmania,,,,,,,,,,
Sep-96,4.2,Tasmania,,,,,,,,,,
Dec-96,5.7,Tasmania,,,,,,,,,,
Mar-97,6,Tasmania,,,,,,,,,,
Jun-97,10.1,Tasmania,,,,,,,,,,
Sep-97,9.7,Tasmania,,,,,,,,,,
Dec-97,3.8,Tasmania,,,,,,,,,,
Mar-98,3.7,Tasmania,,,,,,,,,,
Jun-98,3.5,Tasmania,,,,,,,,,,
Sep-98,2.4,Tasmania,,,,,,,,,,
Dec-98,3,Tasmania,,,,,,,,,,
Mar-99,3.8,Tasmania,,,,,,,,,,
Jun-99,2.6,Tasmania,,,,,,,,,,
Sep-99,2.7,Tasmania,,,,,,,,,,
Dec-99,2.3,Tasmania,,,,,,,,,,
Mar-00,2.4,Tasmania,,,,,,,,,,
Jun-00,1.3,Tasmania,,,,,,,,,,
Sep-00,1.7,Tasmania,,,,,,,,,,
Dec-00,2.6,Tasmania,,,,,,,,,,
Mar-01,2.5,Tasmania,,,,,,,,,,
Jun-01,2.3,Tasmania,,,,,,,,,,
Sep-01,0.9,Tasmania,,,,,,,,,,
Dec-01,1.2,Tasmania,,,,,,,,,,
Mar-02,1,Tasmania,,,,,,,,,,
Jun-02,0.9,Tasmania,,,,,,,,,,
Sep-02,1.1,Tasmania,,,,,,,,,,
Dec-02,1,Tasmania,,,,,,,,,,
Mar-03,1.2,Tasmania,,,,,,,,,,
Jun-03,1,Tasmania,,,,,,,,,,
Sep-03,1.2,Tasmania,,,,,,,,,,
Dec-03,1,Tasmania,,,,,,,,,,
Mar-04,1.7,Tasmania,,,,,,,,,,
Jun-04,3.6,Tasmania,,,,,,,,,,
Sep-04,1.3,Tasmania,,,,,,,,,,
Dec-04,1.6,Tasmania,,,,,,,,,,
Mar-05,2.5,Tasmania,,,,,,,,,,
Jun-05,2.9,Tasmania,,,,,,,,,,
Sep-05,3.6,Tasmania,,,,,,,,,,
Dec-05,3.7,Tasmania,,,,,,,,,,
Mar-06,8.4,Tasmania,,,,,,,,,,
Jun-06,6.9,Tasmania,,,,,,,,,,
Sep-06,6.6,Tasmania,,,,,,,,,,
Dec-06,5.9,Tasmania,,,,,,,,,,
Mar-07,3,Tasmania,,,,,,,,,,
Jun-07,8.4,Tasmania,,,,,,,,,,
Sep-07,9,Tasmania,,,,,,,,,,
Dec-07,7,Tasmania,,,,,,,,,,
Mar-08,8.2,Tasmania,,,,,,,,,,
Jun-08,8.3,Tasmania,,,,,,,,,,
Sep-08,7.3,Tasmania,,,,,,,,,,
Dec-08,7,Tasmania,,,,,,,,,,
Mar-09,3.3,Tasmania,,,,,,,,,,
Jun-09,2.7,Tasmania,,,,,,,,,,
Sep-09,3.5,Tasmania,,,,,,,,,,
Dec-09,4.4,Tasmania,,,,,,,,,,
Mar-10,5.7,Tasmania,,,,,,,,,,
Jun-10,7.1,Tasmania,,,,,,,,,,
Sep-10,8,Tasmania,,,,,,,,,,
Dec-10,10.2,Tasmania,,,,,,,,,,
Mar-11,9.4,Tasmania,,,,,,,,,,
Jun-11,9.6,Tasmania,,,,,,,,,,
Sep-11,9.6,Tasmania,,,,,,,,,,
Dec-11,10.1,Tasmania,,,,,,,,,,
Mar-12,10,Tasmania,,,,,,,,,,
Jun-12,9.7,Tasmania,,,,,,,,,,
Sep-12,10.9,Tasmania,,,,,,,,,,
Dec-12,10.1,Tasmania,,,,,,,,,,
Mar-13,9.8,Tasmania,,,,,,,,,,
Jun-13,9.6,Tasmania,,,,,,,,,,
Sep-13,9.3,Tasmania,,,,,,,,,,
Dec-13,8.8,Tasmania,,,,,,,,,,
Mar-14,6.4,Tasmania,,,,,,,,,,
Jun-14,5.6,Tasmania,,,,,,,,,,
Sep-14,7.5,Tasmania,,,,,,,,,,
Dec-14,4.2,Tasmania,,,,,,,,,,
Mar-15,4.4,Tasmania,,,,,,,,,,
Jun-15,3.8,Tasmania,,,,,,,,,,
Sep-15,3.9,Tasmania,,,,,,,,,,
Dec-15,2.3,Tasmania,,,,,,,,,,
Mar-16,3.8,Tasmania,,,,,,,,,,
Jun-16,3.4,Tasmania,,,,,,,,,,
Sep-16,3.2,Tasmania,,,,,,,,,,
Dec-16,3.1,Tasmania,,,,,,,,,,
Mar-17,3.4,Tasmania,,,,,,,,,,
Jun-17,3.4,Tasmania,,,,,,,,,,
Sep-17,7,Tasmania,,,,,,,,,,
Dec-17,7.4,Tasmania,,,,,,,,,,
Mar-18,4.7,Tasmania,,,,,,,,,,
Jun-18,6.7,Tasmania,,,,,,,,,,
Sep-18,5.3,Tasmania,,,,,,,,,,
Dec-18,4.8,Tasmania,,,,,,,,,,
Mar-19,3.7,Tasmania,,,,,,,,,,
Jun-19,5.6,Tasmania,,,,,,,,,,
Sep-19,3.4,Tasmania,,,,,,,,,,
Dec-19,3.3,Tasmania,,,,,,,,,,
Mar-20,2.3,Tasmania,,,,,,,,,,
Jun-20,2,Tasmania,,,,,,,,,,
Sep-20,3.3,Tasmania,,,,,,,,,,
Dec-20,3.2,Tasmania,,,,,,,,,,
Mar-21,4.3,Tasmania,,,,,,,,,,
Jun-21,3,Tasmania,,,,,,,,,,
Mar-74,,Northern Territory,,,,,,,,,,
Jun-74,,Northern Territory,,,,,,,,,,
Sep-74,,Northern Territory,,,,,,,,,,
Dec-74,,Northern Territory,,,,,,,,,,
Mar-75,,Northern Territory,,,,,,,,,,
Jun-75,,Northern Territory,,,,,,,,,,
Sep-75,,Northern Territory,,,,,,,,,,
Dec-75,,Northern Territory,,,,,,,,,,
Mar-76,,Northern Territory,,,,,,,,,,
Jun-76,,Northern Territory,,,,,,,,,,
Sep-76,,Northern Territory,,,,,,,,,,
Dec-76,,Northern Territory,,,,,,,,,,
Mar-77,,Northern Territory,,,,,,,,,,
Jun-77,,Northern Territory,,,,,,,,,,
Sep-77,,Northern Territory,,,,,,,,,,
Dec-77,,Northern Territory,,,,,,,,,,
Mar-78,,Northern Territory,,,,,,,,,,
Jun-78,,Northern Territory,,,,,,,,,,
Sep-78,,Northern Territory,,,,,,,,,,
Dec-78,,Northern Territory,,,,,,,,,,
Mar-79,,Northern Territory,,,,,,,,,,
Jun-79,,Northern Territory,,,,,,,,,,
Sep-79,,Northern Territory,,,,,,,,,,
Dec-79,,Northern Territory,,,,,,,,,,
Mar-80,,Northern Territory,,,,,,,,,,
Jun-80,,Northern Territory,,,,,,,,,,
Sep-80,,Northern Territory,,,,,,,,,,
Dec-80,,Northern Territory,,,,,,,,,,
Mar-81,,Northern Territory,,,,,,,,,,
Jun-81,,Northern Territory,,,,,,,,,,
Sep-81,,Northern Territory,,,,,,,,,,
Dec-81,,Northern Territory,,,,,,,,,,
Mar-82,,Northern Territory,,,,,,,,,,
Jun-82,,Northern Territory,,,,,,,,,,
Sep-82,,Northern Territory,,,,,,,,,,
Dec-82,,Northern Territory,,,,,,,,,,
Mar-83,,Northern Territory,,,,,,,,,,
Jun-83,,Northern Territory,,,,,,,,,,
Sep-83,,Northern Territory,,,,,,,,,,
Dec-83,,Northern Territory,,,,,,,,,,
Mar-84,,Northern Territory,,,,,,,,,,
Jun-84,,Northern Territory,,,,,,,,,,
Sep-84,,Northern Territory,,,,,,,,,,
Dec-84,,Northern Territory,,,,,,,,,,
Mar-85,,Northern Territory,,,,,,,,,,
Jun-85,,Northern Territory,,,,,,,,,,
Sep-85,,Northern Territory,,,,,,,,,,
Dec-85,,Northern Territory,,,,,,,,,,
Mar-86,,Northern Territory,,,,,,,,,,
Jun-86,,Northern Territory,,,,,,,,,,
Sep-86,,Northern Territory,,,,,,,,,,
Dec-86,,Northern Territory,,,,,,,,,,
Mar-87,,Northern Territory,,,,,,,,,,
Jun-87,,Northern Territory,,,,,,,,,,
Sep-87,,Northern Territory,,,,,,,,,,
Dec-87,,Northern Territory,,,,,,,,,,
Mar-88,,Northern Territory,,,,,,,,,,
Jun-88,,Northern Territory,,,,,,,,,,
Sep-88,17.5,Northern Territory,,,,,,,,,,
Dec-88,21.1,Northern Territory,,,,,,,,,,
Mar-89,12.6,Northern Territory,,,,,,,,,,
Jun-89,17.4,Northern Territory,,,,,,,,,,
Sep-89,17,Northern Territory,,,,,,,,,,
Dec-89,19.4,Northern Territory,,,,,,,,,,
Mar-90,8.9,Northern Territory,,,,,,,,,,
Jun-90,17.4,Northern Territory,,,,,,,,,,
Sep-90,13.5,Northern Territory,,,,,,,,,,
Dec-90,16.6,Northern Territory,,,,,,,,,,
Mar-91,8.8,Northern Territory,,,,,,,,,,
Jun-91,15,Northern Territory,,,,,,,,,,
Sep-91,14.5,Northern Territory,,,,,,,,,,
Dec-91,15.7,Northern Territory,,,,,,,,,,
Mar-92,10.8,Northern Territory,,,,,,,,,,
Jun-92,16.7,Northern Territory,,,,,,,,,,
Sep-92,16.4,Northern Territory,,,,,,,,,,
Dec-92,17.2,Northern Territory,,,,,,,,,,
Mar-93,10.6,Northern Territory,,,,,,,,,,
Jun-93,19.3,Northern Territory,,,,,,,,,,
Sep-93,18.9,Northern Territory,,,,,,,,,,
Dec-93,18.9,Northern Territory,,,,,,,,,,
Mar-94,12.1,Northern Territory,,,,,,,,,,
Jun-94,19.9,Northern Territory,,,,,,,,,,
Sep-94,21.1,Northern Territory,,,,,,,,,,
Dec-94,19.3,Northern Territory,,,,,,,,,,
Mar-95,14.1,Northern Territory,,,,,,,,,,
Jun-95,21.3,Northern Territory,,,,,,,,,,
Sep-95,21.6,Northern Territory,,,,,,,,,,
Dec-95,19.5,Northern Territory,,,,,,,,,,
Mar-96,19,Northern Territory,,,,,,,,,,
Jun-96,33.7,Northern Territory,,,,,,,,,,
Sep-96,27.5,Northern Territory,,,,,,,,,,
Dec-96,25,Northern Territory,,,,,,,,,,
Mar-97,14.8,Northern Territory,,,,,,,,,,
Jun-97,21.6,Northern Territory,,,,,,,,,,
Sep-97,22.1,Northern Territory,,,,,,,,,,
Dec-97,23.4,Northern Territory,,,,,,,,,,
Mar-98,12.6,Northern Territory,,,,,,,,,,
Jun-98,17.8,Northern Territory,,,,,,,,,,
Sep-98,21.2,Northern Territory,,,,,,,,,,
Dec-98,16,Northern Territory,,,,,,,,,,
Mar-99,7.6,Northern Territory,,,,,,,,,,
Jun-99,19.6,Northern Territory,,,,,,,,,,
Sep-99,19.2,Northern Territory,,,,,,,,,,
Dec-99,14.8,Northern Territory,,,,,,,,,,
Mar-00,8.8,Northern Territory,,,,,,,,,,
Jun-00,14.7,Northern Territory,,,,,,,,,,
Sep-00,14.2,Northern Territory,,,,,,,,,,
Dec-00,15.3,Northern Territory,,,,,,,,,,
Mar-01,7.2,Northern Territory,,,,,,,,,,
Jun-01,10.9,Northern Territory,,,,,,,,,,
Sep-01,15,Northern Territory,,,,,,,,,,
Dec-01,13.3,Northern Territory,,,,,,,,,,
Mar-02,7.2,Northern Territory,,,,,,,,,,
Jun-02,13,Northern Territory,,,,,,,,,,
Sep-02,12.8,Northern Territory,,,,,,,,,,
Dec-02,16.2,Northern Territory,,,,,,,,,,
Mar-03,6.6,Northern Territory,,,,,,,,,,
Jun-03,13.4,Northern Territory,,,,,,,,,,
Sep-03,11.2,Northern Territory,,,,,,,,,,
Dec-03,10.3,Northern Territory,,,,,,,,,,
Mar-04,7.9,Northern Territory,,,,,,,,,,
Jun-04,13.1,Northern Territory,,,,,,,,,,
Sep-04,13.8,Northern Territory,,,,,,,,,,
Dec-04,14.9,Northern Territory,,,,,,,,,,
Mar-05,9.6,Northern Territory,,,,,,,,,,
Jun-05,17.3,Northern Territory,,,,,,,,,,
Sep-05,24.1,Northern Territory,,,,,,,,,,
Dec-05,17.6,Northern Territory,,,,,,,,,,
Mar-06,12.6,Northern Territory,,,,,,,,,,
Jun-06,20.5,Northern Territory,,,,,,,,,,
Sep-06,25,Northern Territory,,,,,,,,,,
Dec-06,27.3,Northern Territory,,,,,,,,,,
Mar-07,16.4,Northern Territory,,,,,,,,,,
Jun-07,23.5,Northern Territory,,,,,,,,,,
Sep-07,33.4,Northern Territory,,,,,,,,,,
Dec-07,38.2,Northern Territory,,,,,,,,,,
Mar-08,22.9,Northern Territory,,,,,,,,,,
Jun-08,38.2,Northern Territory,,,,,,,,,,
Sep-08,40.6,Northern Territory,,,,,,,,,,
Dec-08,45.5,Northern Territory,,,,,,,,,,
Mar-09,20.9,Northern Territory,,,,,,,,,,
Jun-09,39.2,Northern Territory,,,,,,,,,,
Sep-09,49.2,Northern Territory,,,,,,,,,,
Dec-09,39.1,Northern Territory,,,,,,,,,,
Mar-10,25,Northern Territory,,,,,,,,,,
Jun-10,36.1,Northern Territory,,,,,,,,,,
Sep-10,55.8,Northern Territory,,,,,,,,,,
Dec-10,49.8,Northern Territory,,,,,,,,,,
Mar-11,34.7,Northern Territory,,,,,,,,,,
Jun-11,55,Northern Territory,,,,,,,,,,
Sep-11,71.6,Northern Territory,,,,,,,,,,
Dec-11,67.1,Northern Territory,,,,,,,,,,
Mar-12,31.6,Northern Territory,,,,,,,,,,
Jun-12,40.1,Northern Territory,,,,,,,,,,
Sep-12,47.4,Northern Territory,,,,,,,,,,
Dec-12,33.5,Northern Territory,,,,,,,,,,
Mar-13,21.8,Northern Territory,,,,,,,,,,
Jun-13,29,Northern Territory,,,,,,,,,,
Sep-13,32.3,Northern Territory,,,,,,,,,,
Dec-13,30.2,Northern Territory,,,,,,,,,,
Mar-14,21.4,Northern Territory,,,,,,,,,,
Jun-14,34.5,Northern Territory,,,,,,,,,,
Sep-14,27.3,Northern Territory,,,,,,,,,,
Dec-14,24.8,Northern Territory,,,,,,,,,,
Mar-15,19.4,Northern Territory,,,,,,,,,,
Jun-15,24.2,Northern Territory,,,,,,,,,,
Sep-15,33.4,Northern Territory,,,,,,,,,,
Dec-15,27.5,Northern Territory,,,,,,,,,,
Mar-16,19.4,Northern Territory,,,,,,,,,,
Jun-16,20.5,Northern Territory,,,,,,,,,,
Sep-16,22.1,Northern Territory,,,,,,,,,,
Dec-16,23.6,Northern Territory,,,,,,,,,,
Mar-17,11.9,Northern Territory,,,,,,,,,,
Jun-17,20.8,Northern Territory,,,,,,,,,,
Sep-17,28,Northern Territory,,,,,,,,,,
Dec-17,30.5,Northern Territory,,,,,,,,,,
Mar-18,22.5,Northern Territory,,,,,,,,,,
Jun-18,28.3,Northern Territory,,,,,,,,,,
Sep-18,32.5,Northern Territory,,,,,,,,,,
Dec-18,39.9,Northern Territory,,,,,,,,,,
Mar-19,27,Northern Territory,,,,,,,,,,
Jun-19,32.5,Northern Territory,,,,,,,,,,
Sep-19,36.4,Northern Territory,,,,,,,,,,
Dec-19,36.8,Northern Territory,,,,,,,,,,
Mar-20,25.4,Northern Territory,,,,,,,,,,
Jun-20,24.4,Northern Territory,,,,,,,,,,
Sep-20,28.2,Northern Territory,,,,,,,,,,
Dec-20,32.8,Northern Territory,,,,,,,,,,
Mar-21,26.9,Northern Territory,,,,,,,,,,
Jun-21,40.4,Northern Territory,,,,,,,,,,
